,common_drugs
27,C[C@H]1CN([C@H](C)CO)C(=O)Cc2cc(NC(=O)Nc3ccc(C(F)(F)F)cc3)ccc2O[C@H]1CN(C)Cc1ccc(C(=O)Nc2ccccc2N)cc1
43,Nc1ncnc2c1c(I)cn2C1OC(CO)C(O)C1O
194,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1
518,Oc1c(CN2CCCC2)cc(COCc2ccccc2)c2cccnc12
172,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc2ccccc2c1
452,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
173,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1
517,c1cc(-c2sc(-c3ccncc3)c(-c3ccncc3)c2-c2ccncc2)ccn1
332,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
223,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
299,CC(=O)N/N=C(\C)c1ccc(NC(=O)C2CC2)cc1
478,C[C@H]1c2cccc(O)c2C(=O)C2C(=O)[C@]3(O)C(=O)C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
197,CC(=O)Nc1ccc(C(=O)Nc2ccc(F)cc2N)cc1
391,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1
579,CC(=O)NC(c1cc(Cl)c2cccnc2c1O)C1CC1
623,CC=C1NC(=O)[C@H]2CSSCCC=C[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O
102,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
471,O=C(CN1C2=NCCN2c2ccccc21)c1ccc(-c2ccccc2)cc1
447,CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N1CCN(c2ccccc2)CC1)S(=O)(=O)c1cccc2cnccc12
322,CC1=C(CO)C(=O)O[C@@H]([C@@H](C)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@@]32C)C1
597,COc1ccc2c(c1)[nH]c1c(C)nccc12
437,OC[C@H](Cc1ccccc1)Nc1nc(Oc2ccc3c(c2)CCC3)nc2c1ncn2Cc1ccc(-c2ccccc2)cc1
425,Cc1ccc(C(=O)NCCCCCC(=O)Nc2ccccc2N)cc1
556,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
609,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1
302,S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1
57,C=C1/C(=C\C=C2CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O
64,CN1CCN(C2CCN(C(=O)Nc3cc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1
444,NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O
500,CN(C)CC(=O)N1CCCCN2[C@H](CO)[C@@H](c3ccc(C=Cc4ccccc4)cc3)[C@@H]2C1
