,common_drugs
216,O=c1[nH]c(=O)n([C@H]2C[C@H](O)C(CO)O2)cc1I
283,CO[C@H]1CN(C)C(=O)c2cc(NC(=O)NC(C)C)ccc2OC[C@H](C)N(Cc2ccc(-c3ccccn3)cc2)C[C@@H]1C
570,CS(=O)(=O)c1cccc(CNc2nc(Nc3ccc4c(c3)CCC(=O)N4)ncc2C(F)(F)F)c1
268,C=CCNc1oc(-c2ccc(Cl)cc2)nc1C#N
261,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F
584,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21
92,Cc1cccc(S(=O)(=O)N2C[C@H](O)COC[C@H]3O[C@H](CC(=O)Nc4ccc(-c5ccccc5)cc4)CC[C@@H]32)c1
221,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12
554,CC(=O)NC1=NN(C(C)=O)C(C)(c2ccccc2)S1
18,COc1cccc(-c2ccc([C@@H]3[C@H](CO)N4CCCCN(C(=O)c5ccc(F)cc5)C[C@@H]34)cc2)c1
14,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12
588,C/C=C(\C)C(=O)OC1C(C)=C2C(C1OC(=O)CCCCCCC)C(C)(OC(C)=O)CC(OC(=O)CCC)C1(O)C2OC(=O)C1(C)O
618,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
480,O=C(Cc1cccnc1)N1CC(=O)N2[C@H](C1)[C@H](c1ccc(C=Cc3ccccc3)cc1)[C@@H]2CO
475,O=C(c1ccc(Cl)cc1)N1CCN(c2ccnc3cc(Cl)ccc23)CC1
517,c1cc(-c2sc(-c3ccncc3)c(-c3ccncc3)c2-c2ccncc2)ccn1
440,O=C(O)c1ccc(NCc2nc3cc4ccccc4cc3[nH]2)cc1
16,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)N=Cc1cnc2ccc(Br)cn12
91,CN(C)c1ccc2c(c1)[C@H]1C[C@H](CC(=O)NCc3ccc(Oc4ccccc4)cc3)O[C@H](CO)[C@H]1O2
488,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
522,C=C1/C(=C\C=C2CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)C=C[C@H](C)C(C)(C)O)C[C@@H](O)C[C@@H]1O
147,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21
317,COc1cc2ncnc(Nc3ccc(O)c(Br)c3)c2cc1OC
473,C[C@]12CC[C@@H](O)[C@@](C)(CO)[C@@H]1CC[C@H]1C[C@@H]3C[C@@]12CC[C@]3(O)CO
94,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
258,CC1=C(CO)C(=O)O[C@H](C(C)[C@H]2CC[C@@H]3[C@H]4C[C@H]5O[C@@]56[C@@H](O)C=CC(=O)[C@@]6(C)C4CC[C@@]23C)C1
472,CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@@H](O)C[C@H]1Cc1c(-c2[nH]c3cc(F)ccc3c2C[C@@H]2C[C@H](O)CN2C(=O)[C@H](CC)NC(=O)[C@H](C)NC)[nH]c2cc(F)ccc12
13,CCNC(=O)c1cc2c(c(-c3cccc(-c4cccc(OC)c4)c3)n1)[C@H](CCO)N([S@@](=O)C(C)(C)C)C2
10,CCN(C[C@H]1N[C@@H](CO)[C@@H]1c1ccc(-c2ccc(F)cc2)cc1)C(=O)COC
281,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12
