,drug,MOAs
27,COc1cc(C[C@H]2C(=O)OC[C@@H]2Cc2ccc(OC)c(OC)c2)ccc1O,MEK inhibitor
173,Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,tyrosine kinase inhibitor
184,Cc1cn[nH]c1,alcohol dehydrogenase inhibitor
176,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1,FGFR inhibitor|VEGFR inhibitor
198,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,proteasome inhibitor
79,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,WEE1 kinase inhibitor
48,Nc1nc2cc(Cl)ccc2o1,myorelaxant
228,O=C(O)COc1cccc(-c2ocnc2-c2nc(-c3ccccc3)c(-c3ccccc3)o2)c1,IP1 prostacyclin receptor agonist
177,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,RNA synthesis inhibitor|topoisomerase inhibitor
113,CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC,ACAT inhibitor
150,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,dihydrofolate reductase inhibitor
210,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Abl kinase inhibitor|Bcr-Abl kinase inhibitor
201,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C,adenosine reuptake inhibitor|phosphodiesterase inhibitor
211,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,histone lysine methyltransferase inhibitor
225,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,ALK tyrosine kinase receptor inhibitor
71,CO[C@]12[C@@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1N[C@H]12,DNA alkylating agent|DNA synthesis inhibitor
138,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,guanylyl cyclase inhibitor|nitric oxide production inhibitor
59,Nc1nc(Nc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,adenosine receptor agonist
88,O=C(Nc1cccnc1)N1CCC(Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1,FAAH inhibitor
116,Cc1ccc(S(=O)(=O)OCC(=O)Nc2ccc(C(=O)O)c(O)c2)cc1,STAT inhibitor
99,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,KIT inhibitor|VEGFR inhibitor
129,COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,GABA receptor antagonist
60,CCCCCCCCCCCC1C(=O)C(=O)CC(=O)C1=O,HCV inhibitor|XIAP inhibitor
57,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,SYK inhibitor
168,CN1N=C(N)c2cn(C3OC(CO)C(O)C3O)c3ncnc1c23,AKT inhibitor
154,O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccc(O)cc3c21,PKC inhibitor
69,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,glucocorticoid receptor antagonist|progesterone receptor antagonist
25,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,dopamine receptor antagonist|serotonin receptor antagonist
190,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,ATPase inhibitor
187,CCN(CC)C(=S)SSC(=S)N(CC)CC,aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist
20,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,polar auxin transport inhibitor
180,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,thyroid hormone stimulant
36,O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12,DNA dependent protein kinase inhibitor
56,C[C@@H]1CC[C@H]2[C@@H](C)C(OC(=O)CCC(=O)O)OC3O[C@]4(C)CC[C@@H]1[C@]32OO4,DNA synthesis inhibitor
50,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
174,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor
164,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,penicillin binding protein inhibitor
