,drug,MOAs
134,C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,IGF-1 inhibitor
6,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,HIV protease inhibitor
14,COc1ccc(S(=O)(=O)N(C(C)=O)c2ccccc2C=Cc2cc[n+]([O-])cc2)cc1,PLK inhibitor
47,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,MEK inhibitor
63,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,ALK tyrosine kinase receptor inhibitor
21,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,dopamine receptor antagonist|serotonin receptor antagonist
137,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,adrenergic receptor antagonist
200,Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F,MAP kinase inhibitor|MEK inhibitor
93,O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1,Aurora kinase inhibitor|JAK inhibitor
154,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,dehydrogenase inhibitor|inositol monophosphatase inhibitor
92,CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C1C2=O,bacterial 30S ribosomal subunit inhibitor
54,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,p38 MAPK inhibitor
127,NC(=O)c1ccc(-c2nc(-c3ccc4c(c3)OCCO4)c(-c3ccccn3)[nH]2)cc1,TGF beta receptor inhibitor
35,Oc1c(Cl)cc(Cl)c2cccnc12,opioid receptor antagonist
109,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,NFkB pathway inhibitor|proteasome inhibitor
123,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,FLT3 inhibitor
155,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,DNA methyltransferase inhibitor
196,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,biliverdin reductase A activator|G protein-coupled receptor agonist
141,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,cyclooxygenase inhibitor|histone acetyltransferase inhibitor|lipoxygenase inhibitor|NFkB pathway inhibitor
2,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,None
64,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,Aurora kinase inhibitor
208,CC1=CC(=O)c2ccccc2C1=O,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor
151,O=C1c2ccccc2-c2n[nH]c3cccc1c23,JNK inhibitor
206,CN1C(=O)C(Cc2c[nH]c3ccccc23)NC1=S,RIPK inhibitor
122,COc1ccc2[nH]c(C(=O)c3ccccc3)cc2c1,microtubule inhibitor
182,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,FLT3 inhibitor|JAK inhibitor
183,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,norepinephrine reuptake inhibitor|serotoninñnorepinephrine reuptake inhibitor (SNRI)
185,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1,FGFR inhibitor|VEGFR inhibitor
204,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,acetylcholine receptor antagonist
169,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor|tyrosine kinase inhibitor
