,drug,MOAs
161,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor
52,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,FLT3 inhibitor|KIT inhibitor|PKC inhibitor
60,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,matrix metalloprotease inhibitor
92,CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21,ATPase inhibitor|TRPV agonist
67,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,protein synthesis inhibitor
108,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,laxative
141,C=C1C(=O)O[C@H]2[C@H]1CCC(C)=CCC[C@@]1(C)O[C@@H]21,NFkB pathway inhibitor
56,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C,retinoid receptor agonist
131,CCCCCCN(CCCCCC)C(=O)Cc1c(-c2ccc(F)cc2)[nH]c2ccccc12,inositol monophosphatase inhibitor
154,C=C[C@@]1(C)CC(=O)[C@@]2(O)[C@](C)(O1)[C@@H](OC(C)=O)[C@@H](O)[C@H]1C(C)(C)CC[C@@H](O)[C@@]12C,adenylyl cyclase activator
101,S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor
35,Oc1c(Cl)cc(Cl)c2cccnc12,opioid receptor antagonist
46,N#CC(=C(N)Sc1ccccc1N)C(C#N)=C(N)Sc1ccccc1N,MEK inhibitor
45,CCOC(=O)c1ncc2[nH]c3cccc(OC(C)C)c3c2c1C,benzodiazepine receptor antagonist
87,C/C=C/C[C@@H](C)[C@@H](O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)N[C@H](C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,calcineurin inhibitor
29,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,glucocorticoid receptor agonist|phospholipase inhibitor
107,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,casein kinase inhibitor|cell proliferation inhibitor
13,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,IKK inhibitor|NFkB pathway inhibitor
65,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,adrenergic receptor antagonist
63,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,cytokine production inhibitor|NFkB pathway inhibitor|TP53 activator
48,CS(=O)c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,p38 MAPK inhibitor
75,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,cytochrome P450 inhibitor|imidazoline receptor ligand
81,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,lanosterol demethylase inhibitor|sterol demethylase inhibitor
93,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,guanylyl cyclase inhibitor|nitric oxide production inhibitor
151,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,potassium channel activator
165,CC1=CC(=O)c2ccccc2C1=O,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor
68,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,IKK inhibitor
21,CC(=O)[C@@]1(O)CCC2C3C[C@H](C)C4=CC(=O)C=CC4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,glucocorticoid receptor agonist
22,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,dopamine receptor antagonist|serotonin receptor antagonist
14,COc1ccc(S(=O)(=O)N(C(C)=O)c2ccccc2C=Cc2cc[n+]([O-])cc2)cc1,PLK inhibitor
