,drug,MOAs
78,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,microtubule inhibitor
202,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,adrenergic receptor antagonist
162,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
199,COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O,survivin inhibitor
216,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(N=C=S)cc2)CC1,opioid receptor agonist
14,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,antiviral
106,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,bacterial cell wall synthesis inhibitor
206,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CN,cannabinoid receptor agonist
176,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1,FGFR inhibitor|VEGFR inhibitor
160,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,thymidylate synthase inhibitor
77,CC(C=CC=C(C)/C=C/C1=C(C)CCCC1(C)C)=CC(=O)Nc1ccc(O)cc1,apoptosis stimulant|retinoid receptor agonist
145,O=C(Oc1cccc2cccnc12)c1ccccc1,antiinfective drug
234,CC1=CC(=O)c2ccccc2C1=O,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor
65,O=C(Nc1cccc2cccnc12)c1ccc(N2C(=O)[C@H]3[C@H]4C=C[C@H](C4)[C@H]3C2=O)cc1,PARP inhibitor
60,CCCCCCCCCCCC1C(=O)C(=O)CC(=O)C1=O,HCV inhibitor|XIAP inhibitor
64,CN(C)CCC=C1c2ccccc2CCc2ccccc21,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotoninñnorepinephrine reuptake inhibitor (SNRI)
