,drug,MOAs
78,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,microtubule inhibitor
202,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,adrenergic receptor antagonist
162,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
199,COCCn1c2c([n+](Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O,survivin inhibitor
216,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(N=C=S)cc2)CC1,opioid receptor agonist
14,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,antiviral
106,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,bacterial cell wall synthesis inhibitor
206,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CN,cannabinoid receptor agonist
176,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1,FGFR inhibitor|VEGFR inhibitor
160,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,thymidylate synthase inhibitor
77,CC(C=CC=C(C)/C=C/C1=C(C)CCCC1(C)C)=CC(=O)Nc1ccc(O)cc1,apoptosis stimulant|retinoid receptor agonist
145,O=C(Oc1cccc2cccnc12)c1ccccc1,antiinfective drug
234,CC1=CC(=O)c2ccccc2C1=O,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor
65,O=C(Nc1cccc2cccnc12)c1ccc(N2C(=O)[C@H]3[C@H]4C=C[C@H](C4)[C@H]3C2=O)cc1,PARP inhibitor
60,CCCCCCCCCCCC1C(=O)C(=O)CC(=O)C1=O,HCV inhibitor|XIAP inhibitor
64,CN(C)CCC=C1c2ccccc2CCc2ccccc21,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotoninñnorepinephrine reuptake inhibitor (SNRI)
35,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,CDK inhibitor
185,CC[C@@H](C(=O)C(C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)C1OC(CC)(C2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C,bacterial permeability inducer
21,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,histamine receptor antagonist
121,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor
88,O=C(Nc1cccnc1)N1CCC(Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1,FAAH inhibitor
168,CN1N=C(N)c2cn(C3OC(CO)C(O)C3O)c3ncnc1c23,AKT inhibitor
126,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,NFkB pathway inhibitor|proteasome inhibitor
63,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,ATPase inhibitor|gastrin inhibitor
124,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],KATP activator|Kir6 channel (KATP) activator|vasodilator
90,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,enkephalinase inhibitor
111,Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,fungal squalene epoxidase inhibitor
110,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,prostanoid receptor antagonist
171,O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1,HIV integrase inhibitor|lipoxygenase inhibitor|nitric oxide production inhibitor|tumor necrosis factor production inhibitor
137,CN1CCN2c3ncccc3Cc3ccccc3C2C1,adrenergic receptor antagonist|serotonin receptor antagonist
