,drug,MOAs
59,CN(C)c1ccc(C=C2C(=O)Nc3ccccc32)cc1,PDGFR tyrosine kinase receptor inhibitor|tyrosine kinase inhibitor|VEGFR inhibitor
64,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,Aurora kinase inhibitor
36,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,serotonin receptor agonist
20,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,polar auxin transport inhibitor
60,COC(=O)Nc1nc2ccc(S(=O)c3ccccc3)cc2[nH]1,anthelmintic agent
57,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,estrogen receptor antagonist|selective estrogen receptor modulator (SERM)
84,CS(=O)CCCCN=C=S,anticancer agent|aryl hydrocarbon receptor antagonist
106,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,nedd activating enzyme inhibitor
122,COc1ccc2[nH]c(C(=O)c3ccccc3)cc2c1,microtubule inhibitor
77,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,DNA replication inhibitor|STAT inhibitor
207,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor
133,O=C(NC(NC(=S)Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl)C(c1ccccc1)c1ccccc1,ATM kinase inhibitor|ATR kinase inhibitor
6,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,HIV protease inhibitor
56,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor
79,O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12,nitric oxide stimulant
118,CN1CCN2c3ncccc3Cc3ccccc3C2C1,adrenergic receptor antagonist|serotonin receptor antagonist
71,O=C1C(SCCO)=C(SCCO)C(=O)c2ccccc21,CDC inhibitor
47,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,MEK inhibitor
143,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,thymidylate synthase inhibitor
2,COc1ccc(-n2c(SCc3nc(-c4ccc(C)cc4)no3)nnc2-c2ccncc2)cc1,None
3,CCC(C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](CC=C(C)[C@@H](OC3C[C@H](OC)C(O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)C=CC=C3CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2,benzodiazepine receptor agonist
103,C=CCc1cccc(C=NNC(=O)CN2CCN(Cc3ccccc3)CC2)c1O,caspase activator
11,Cn1cnc([N+](=O)[O-])c1Sc1[nH]cnc2ncnc1-2,dehydrogenase inhibitor
166,CC[C@@H](C(=O)C(C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)C1OC(CC)(C2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C,bacterial permeability inducer
50,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,DNA dependent protein kinase inhibitor|mTOR inhibitor|PI3K inhibitor
7,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F,phosphodiesterase inhibitor
40,Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1,glycogen synthase kinase inhibitor
131,O=C(Oc1cccc2cccnc12)c1ccccc1,antiinfective drug
21,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,dopamine receptor antagonist|serotonin receptor antagonist
135,C[C@]12CCC3c4ccc(O)cc4CCC3C1CCC2=O,estrogen receptor agonist|estrogenic hormone
104,C#C[C@]1(O)CCC2C3CCC4=Cc5oncc5C[C@]4(C)C3CC[C@@]21C,estrogen receptor antagonist|progesterone receptor agonist
88,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,protein synthesis inhibitor
76,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,adrenergic receptor agonist
181,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,pyruvate ferredoxin oxidoreductase inhibitor
61,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,glucocorticoid receptor antagonist|progesterone receptor antagonist
149,Cc1cc(NC(=O)Nc2ccc(N(C)C)cc2)c2cc(F)cc(F)c2n1,orexin receptor antagonist
172,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,guanylate cyclase activator
70,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,WEE1 kinase inhibitor
203,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,dihydrofolate reductase inhibitor
170,COc1ccc(C2CC(c3c(O)cc(C)oc3=O)=NCCS2)c(OC)c1,P selectin inhibitor
